criterion,generated_resource_type,generated_profile,generated_code_system,generated_code,generated_value_shape,scorer_expected_resource_type,scorer_expected_profile,scorer_expected_code_system,scorer_expected_code,scorer_expected_value_shape,status,reason
485,Observation,http://localhost:3456/api/terminology/Profile/cnwqk485-popq-assessment,http://localhost:3456/api/terminology/CodeSystem/cnwqk485-codes,485,"{""coding"": [{""code"": ""III"", ""system"": ""http://localhost:3456/api/terminology/CodeSystem/cnwqk485-popq-grade-cs""}]}",Observation,http://localhost:3456/api/terminology/Profile/cnwqk485-popq-assessment,http://localhost:3456/api/terminology/CodeSystem/cnwqk485-popq-grade-cs,III,"{""value_code"": ""III"", ""value_system"": ""http://localhost:3456/api/terminology/CodeSystem/cnwqk485-popq-grade-cs""}",SERVICE_MISS,IV:SERVICE_MISS
615,Observation,http://localhost:3456/api/terminology/Profile/cnwqk615-pathological-t-stage-observation,http://localhost:3456/api/terminology/CodeSystem/cnwqk615-codes,615,"""""",Observation,http://localhost:3456/api/terminology/Profile/cnwqk615-pathological-t-stage-observation;http://localhost:3456/api/terminology/Profile/cnwqk615-resection-margin-status-observation;http://localhost:3456/api/terminology/Profile/cnwqk615-pathological-n-stage-observation;http://localhost:3456/api/terminology/Profile/cnwqk615-gleason-score-observation;http://localhost:3456/api/terminology/Profile/cnwqk615-psa-observation,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
265,Observation,http://localhost:3456/api/terminology/Profile/cnwqk265-serum-cardiac-troponin-observation,http://localhost:3456/api/terminology/CodeSystem/cnwqk265-codes,265,"{""unit"": ""ug/L"", ""value"": 0.08}",Observation,http://localhost:3456/api/terminology/Profile/cnwqk265-serum-cardiac-troponin-observation,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
635,Observation,http://localhost:3456/api/terminology/Profile/cnwqk635-LaboratoryExaminationProfile,http://localhost:3456/api/terminology/CodeSystem/cnwqk635-LaboratoryTestsCS,AST,"{""unit"": ""unit"", ""value"": 30.0}",Observation,http://localhost:3456/api/terminology/Profile/cnwqk635-LaboratoryExaminationProfile,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
675,Condition,http://localhost:3456/api/terminology/Profile/cnwqk675-head-facial-herpes-zoster-condition,http://localhost:3456/api/terminology/CodeSystem/icd10,B02.9,"""""",Condition,http://localhost:3456/api/terminology/Profile/cnwqk675-head-facial-herpes-zoster-condition,http://localhost:3456/api/terminology/CodeSystem/icd10,B02.9,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
735,Condition,http://localhost:3456/api/terminology/StructureDefinition/cnwqk735-nonneoplasm-disease-stage,http://localhost:3456/api/terminology/CodeSystem/cnwqk735-codes,735,"""""",Condition,http://localhost:3456/api/terminology/StructureDefinition/cnwqk735-nonneoplasm-disease-stage,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
745,Procedure,http://localhost:3456/api/terminology/Profile/cnwqk745-postop-mechanical-ventilation,http://localhost:3456/api/terminology/CodeSystem/cnwqk745-procedure-type-cs,invasive_mechanical_ventilation,"""""",Procedure,http://localhost:3456/api/terminology/Profile/cnwqk745-postop-mechanical-ventilation,http://localhost:3456/api/terminology/CodeSystem/cnwqk745-procedure-type-cs,invasive_mechanical_ventilation,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
755,Procedure,http://localhost:3456/api/terminology/Profile/cnwqk755-MechanicalVentilationProcedure,http://localhost:3456/api/terminology/CodeSystem/cnwqk755-codes,755,"{""duration_hours"": 30.0}",Procedure,http://localhost:3456/api/terminology/Profile/cnwqk755-MechanicalVentilationProcedure,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
855,Observation,http://localhost:3456/api/terminology/Profile/cnwqk855-serum-creatinine-observation,http://localhost:3456/api/terminology/CodeSystem/cnwqk855-codes,855,"{""unit"": ""umol/L"", ""value"": 120.0}",Observation,http://localhost:3456/api/terminology/Profile/cnwqk855-serum-creatinine-observation,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
835,Observation,http://localhost:3456/api/terminology/Profile/cnwqk835-OrganOrTissueStatus,http://localhost:3456/api/terminology/CodeSystem/cnwqk835-codes,835,"{""coding"": [{""code"": ""abnormal"", ""system"": ""http://localhost:3456/api/terminology/CodeSystem/cnwqk835-AbnormalityStatusCS""}]}",Observation,http://localhost:3456/api/terminology/Profile/cnwqk835-OrganOrTissueStatus,,,"{""value_code"": null, ""value_system"": null}",SERVICE_HIT,all tested variants replayed as SERVICE_HIT
