criterion,case,decision_equal,reason_equal,route_equal,llm_calls_equal,evidence_equal,positive_set_equal,all_decision_fields_equal
485,POS,YES,YES,YES,YES,YES,YES,YES
485,NEG,YES,YES,YES,YES,YES,YES,YES
615,POS,YES,YES,YES,YES,YES,YES,YES
615,NEG,YES,YES,YES,YES,YES,YES,YES
265,POS,YES,YES,YES,YES,YES,YES,YES
265,NEG,YES,YES,YES,YES,YES,YES,YES
635,POS,YES,YES,YES,YES,YES,YES,YES
635,NEG,YES,YES,YES,YES,YES,YES,YES
675,POS,YES,YES,YES,YES,YES,YES,YES
675,NEG,YES,YES,YES,YES,YES,YES,YES
735,POS,YES,YES,YES,YES,YES,YES,YES
735,NEG,YES,YES,YES,YES,YES,YES,YES
745,POS,YES,YES,YES,YES,YES,YES,YES
745,NEG,YES,YES,YES,YES,YES,YES,YES
755,POS,YES,YES,YES,YES,YES,YES,YES
755,NEG,YES,YES,YES,YES,YES,YES,YES
855,POS,YES,YES,YES,YES,YES,YES,YES
855,NEG,YES,YES,YES,YES,YES,YES,YES
835,POS,YES,YES,YES,YES,YES,YES,YES
835,NEG,YES,YES,YES,YES,YES,YES,YES
875,POS,YES,YES,YES,YES,YES,YES,YES
875,NEG,YES,YES,YES,YES,YES,YES,YES
805,POS,YES,YES,YES,YES,YES,YES,YES
805,NEG,YES,YES,YES,YES,YES,YES,YES
565,POS,YES,YES,YES,YES,YES,YES,YES
565,NEG,YES,YES,YES,YES,YES,YES,YES
555,POS,YES,YES,YES,YES,YES,YES,YES
555,NEG,YES,YES,YES,YES,YES,YES,YES
185,POS,YES,YES,YES,YES,YES,YES,YES
185,NEG,YES,YES,YES,YES,YES,YES,YES
165,POS,YES,YES,YES,YES,YES,YES,YES
165,NEG,YES,YES,YES,YES,YES,YES,YES
