criterion,evaluations,RULE_calls,LLM_calls,MATCH_decisions,NO_MATCH_decisions,MATCH_resources_gt0,MATCH_resources_eq0,total_resources,mean_evidence_windows,prompt_length_min,prompt_length_mean,prompt_length_max,reason_distribution
485,0,0,0,0,0,0,0,0,,,,,{}
615,0,0,0,0,0,0,0,0,,,,,{}
265,0,0,0,0,0,0,0,0,,,,,{}
635,0,0,0,0,0,0,0,0,,,,,{}
675,0,0,0,0,0,0,0,0,,,,,{}
735,0,0,0,0,0,0,0,0,,,,,{}
745,0,0,0,0,0,0,0,0,,,,,{}
755,0,0,0,0,0,0,0,0,,,,,{}
855,0,0,0,0,0,0,0,0,,,,,{}
835,0,0,0,0,0,0,0,0,,,,,{}
875,0,0,0,0,0,0,0,0,,,,,{}
805,0,0,0,0,0,0,0,0,,,,,{}
565,0,0,0,0,0,0,0,0,,,,,{}
555,0,0,0,0,0,0,0,0,,,,,{}
185,0,0,0,0,0,0,0,0,,,,,{}
165,0,0,0,0,0,0,0,0,,,,,{}
