criterion_id,title,criterion_text,polarity,clinical_logic,extraction_path,temporal_requirement,subject_requirement,clinical_object_type,transport_resource_type,profile,service_query,known_risk,audit_status
485,POP-Q stage III-IV prolapse,根据盆腔器官脱垂分度（POP-Q）诊断为III-IV度的患者,inclusion,prolapse AND POP-Q in III-IV,deterministic,latest assessment,patient,Condition,Observation,cnwqk485-popq-assessment,Observation _profile + value-concept III or IV,clinical/transport type split,PASS
615,prostate adverse pathology or PSA threshold,满足至少一项：pT3a-4，R1，pN1，GS≥8或PSA＞0.1ng/ml,inclusion,pT3a-4 OR R1 OR pN1 OR GS>=8 OR PSA>0.1,deterministic,documented disease course,patient,Observation,Observation,cnwqk615-gleason-score-observation,Observation profile/value query,transport represents the satisfying branch,PASS
265,elevated preoperative troponin,术前血清cTnI≥0.06μg/L或cTnT≥0.03μg/L,exclusion,preop cTnI>=0.06 OR cTnT>=0.03,deterministic,preoperative,patient,Observation,Observation,cnwqk265-serum-cardiac-troponin-observation,Observation _profile + value,unit and preoperative qualification required,PASS
635,labs not above twice ULN,AST、ALT、BUN、Cr不超过正常值一倍者,inclusion,AST<=2xULN AND ALT<=2xULN AND BUN<=2xULN AND Cr<=2xULN,deterministic,current/relevant lab window,patient,LaboratoryMeasurement,Observation,cnwqk635-LaboratoryExaminationProfile,Observation _profile then aggregate all four codes with value<=2*high,original frozen polarity and ANY logic were reversed,FIXED
675,age >=50 with confirmed head-face herpes zoster,年龄≥50岁诊断明确的头面部带状疱疹患者,inclusion,age>=50 AND confirmed zoster AND linked head/face site,deterministic first + one-call semantic fallback,relevant zoster episode,patient,Condition,Condition,cnwqk675-head-facial-herpes-zoster-condition,Condition _profile,site must bind to diagnosis,PASS
735,active target infectious/connective-tissue disease,甲肝、乙肝、艾滋病、结核等传染性疾病或结缔组织病处于活动期者,exclusion,target disease AND active state,deterministic,current activity,patient,Condition,Condition,cnwqk735-nonneoplasm-disease-stage,Condition _profile + clinicalStatus,resolved/stable blockers,PASS
745,postoperative invasive mechanical ventilation,术后需要有创机械通气,inclusion,surgery AND invasive ventilation AND postoperative relation,deterministic first + one-call semantic fallback,same perioperative episode,patient,ClinicalEvent graph,Procedure,cnwqk745-postop-mechanical-ventilation,Procedure _profile + code + resolvable partOf,parent surgery must ship in bundle,PASS
755,mechanical ventilation >=24h,机械通气≥24h,inclusion,ventilation duration>=24h,deterministic,contiguous event,patient,ClinicalEvent,Procedure,cnwqk755-MechanicalVentilationProcedure,Procedure _profile + performedPeriod,duration required,PASS
855,adequate hepatic and renal function,无明显肝肾功能异常（Scr<178μmol/L；BUN<9mmol/L；ALT和AST无明显升高）,inclusion,Scr<178 AND BUN<9 AND ALT<=ULN AND AST<=ULN,deterministic,coherent lab window,patient,LaboratoryMeasurement,Observation,cnwqk855 four lab profiles,aggregate latest four profile observations and thresholds,service uses fixed ALT/AST thresholds while clinical IR uses explicit ULN,PASS
835,coagulation abnormality,凝血功能异常,exclusion,current coagulation abnormality,deterministic,latest comparable state,patient,ClinicalFact,Observation,cnwqk835-OrganOrTissueStatus,Observation _profile + abnormal interpretation,no invented PT/APTT/INR thresholds,PASS
875,intracranial hypertension or consciousness impairment,颅内高压或意识不清,exclusion,intracranial hypertension OR consciousness impairment,deterministic first + one-call semantic fallback,explicit production policy required,patient,ClinicalFact,Observation,cnwqk875 two observation profiles,Observation _profile + value-concept present,no source evidence chooses CURRENT_ACTIVE versus EVER_PRESENT,REVIEW_REQUIRED
805,smoking or cessation under two years,吸烟或戒烟<2年,exclusion,current smoker OR cessation elapsed<2y,deterministic,relative to index date,patient,ClinicalFact,Observation,cnwqk805-SmokingStatusObservation,Observation _profile + value,current/former/never distinction,PASS
565,severe diarrhea or constipation,患有严重腹泻或便秘,exclusion,(diarrhea OR constipation) AND severe AND not resolved,deterministic,current episode,patient,Condition,Observation,cnwqk565-symptomobservation,Observation _profile + symptom code + severe extension,clinical/transport type split and resolved blocker,PASS
555,surgery history within six months,半年内手术史,inclusion,completed surgery within 6 months,deterministic,within 6 months of index/reference,patient,Surgery,Procedure,cnwqk555-SurgeryHistoryProfile,Procedure _profile + date >= index-180d,bare history without usable time remains unknown,PASS
185,first irinotecan-containing chemotherapy administration,首次应用包含伊立替康的化疗方案治疗,inclusion,actual first irinotecan administration and not planned/prior,deterministic first + one-call semantic fallback,first occurrence on timeline,patient,MedicationAdministration,MedicationAdministration,cnwqk185-chemotherapy-administration,MedicationAdministration _profile + first-use extension,planned and prior-use blockers,PASS
165,prior chemotherapy at outside hospital,已经在外院接受过化疗者,exclusion,occurred chemotherapy AND outside hospital,deterministic,history before/current transfer,patient,MedicationAdministration,Procedure,cnwqk165-chemotherapy-history,Procedure _profile,clinical/transport type split; planned/family blockers,PASS
