criterion,v243_query_source,v243_resource_type,v5s1_resource_type,v243_profile,v5s1_profile,v243_code_shape,v5s1_code_shape,v243_value_shape,v5s1_value_shape,v243_time_shape,v5s1_time_shape,v243_subject_shape,v5s1_subject_shape,actual_scorer_query,comparison,visibility_class,confidence,risk
165,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Procedure,Procedure,cnwqk165-chemotherapy-history,cnwqk165-chemotherapy-history,chemotherapy coding + external extension,generic criterion 165 + external extension,none,none,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,profile query; Procedure fields,same profile and external extension,IDENTICAL_VISIBILITY,HIGH,LIKELY_RECALL_INCREASING for V2.4.3
185,preserved evidence/a_*_FHIR_SERVICE_CODE.py,MedicationAdministration,MedicationAdministration,cnwqk185-chemotherapy-administration,cnwqk185-chemotherapy-administration,irinotecan coding + first-use extension,same,medicationCodeableConcept + extension,same,effectiveDateTime=report timestamp,explicit date else 1970-01-01T00:00:00Z,Patient/<patient argument>,Patient/<patient argument>,profile + medication/first-use fields,same fields; date fallback differs,DIFFERENT_BUT_EQUIVALENT,MEDIUM,LIKELY_RECALL_INCREASING for V2.4.3
265,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Observation,Observation,serum + preoperative troponin profiles,cnwqk265-serum-cardiac-troponin-observation,troponin cTnI/cTnT + LOINC + preoperative extension,generic criterion 265; no preoperative extension,valueQuantity ug/L,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,serum profile + cTnI/cTnT code + preoperative extension + threshold,generic code and no preoperative extension,V243_MORE_VISIBLE,HIGH,LIKELY_PRECISION_INCREASING; HIGH visibility risk
485,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Observation,Observation,cnwqk485-popq-assessment,cnwqk485-popq-assessment,popq-grade + value III/IV,generic criterion 485 + value III/IV,valueCodeableConcept,same,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,profile + POP-Q value III or IV,same profile/value; V5S.1 exact branch,DIFFERENT_BUT_EQUIVALENT,HIGH,NEUTRAL decision; MEDIUM transport risk
555,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Procedure,Procedure,cnwqk555-SurgeryHistoryProfile,cnwqk555-SurgeryHistoryProfile,SurgeryProcedureCS surgery,generic criterion 555,none,none,computed report timestamp minus relative months,explicit date else 1970-01-01T00:00:00Z,Patient/<patient argument>,Patient/<patient argument>,profile + completed + performedDateTime within six-month window,date may fall back to 1970,V243_MORE_VISIBLE,HIGH,LIKELY_RECALL_INCREASING for V2.4.3
565,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Observation,Observation,cnwqk565-symptomobservation,cnwqk565-symptomobservation,symptom code + severe extension,same,severity extension,same,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,profile + symptom code + severe extension,same when emitted,IDENTICAL_VISIBILITY,HIGH,LIKELY_RECALL_INCREASING for V2.4.3
615,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Observation,Observation,five branch-specific cnwqk615 profiles,same profiles,branch-specific code/value,generic criterion 615 + branch value,valueCodeableConcept or valueQuantity,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,five profile/value-specific queries,profiles retained; generic code/time differs,UNRESOLVED,MEDIUM,UNKNOWN decision; MEDIUM transport risk
635,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Observation x4,Observation x4,cnwqk635-LaboratoryExaminationProfile,same,AST/ALT/BUN/Cr coding,same,valueQuantity + referenceRange.high x4,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,profile; group by Patient; require four values and referenceRange.high,same four-resource shape when gate passes,DIFFERENT_BUT_EQUIVALENT,HIGH,LIKELY_PRECISION_INCREASING; possible retrieval recall cost
675,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Condition,Condition,cnwqk675headfacialherpeszostercondition,cnwqk675-head-facial-herpes-zoster-condition,B02.9 + head/face bodySite,same,Condition code/bodySite,same,onset omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,official hyphenated profile + active/confirmed + B02.9 + head/face,V5S.1 uses official profile and fields,V5S1_MORE_VISIBLE,HIGH,MIXED
735,preserved evidence/a_*_FHIR_SERVICE_CODE.py,Condition,Condition,cnwqk735_nonneoplasmdiseasestage,StructureDefinition/cnwqk735-nonneoplasm-disease-stage,branch disease code + active,generic criterion 735 + active,Condition code,same,onset omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,official StructureDefinition profile + active + disease code,official profile but generic disease code,UNRESOLVED,MEDIUM,UNKNOWN
