criterion,v243_retrieval,v5s1_retrieval,v243_rule_logic,v5s1_rule_logic,v243_llm_used,v5s1_llm_used,v243_prompt_style,v5s1_prompt_style,v243_positive_gate,v5s1_positive_gate,v243_payload_requirements,v5s1_payload_requirements,v243_resource_type,v5s1_resource_type,v243_profile,v5s1_profile,v243_code_shape,v5s1_code_shape,v243_value_shape,v5s1_value_shape,v243_time_shape,v5s1_time_shape,v243_subject_shape,v5s1_subject_shape,major_delta,risk
165,each report in full; no global window cap,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: external institution; chemotherapy; received/completed,external-location chemotherapy completion in one report; reject negated/planned,semantic LLM requires external prior chemotherapy and completed/received semantics,NO,YES,none; deterministic Python predicate,"Chinese criterion rule + retrieved evidence; sufficient => YES, otherwise NO; output YES/NO only",predicate true in one report,rule/LLM MATCH on retrieved evidence,external=true,external=true,Procedure,Procedure,cnwqk165-chemotherapy-history,cnwqk165-chemotherapy-history,chemotherapy coding + external extension,generic criterion 165 + external extension,none,none,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,whole-report deterministic match -> bounded evidence plus conservative LLM,LIKELY_RECALL_INCREASING for V2.4.3
185,each report in full; no global window cap,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: irinotecan; first/initial; regimen,first/initial irinotecan regimen; reject prior use,semantic LLM must support first irinotecan-containing regimen,NO,YES,none; deterministic Python predicate,"Chinese criterion rule + retrieved evidence; sufficient => YES, otherwise NO; output YES/NO only",predicate true in one report,rule/LLM MATCH on retrieved evidence,first_application=true; irinotecan medication,first_application=true; irinotecan medication,MedicationAdministration,MedicationAdministration,cnwqk185-chemotherapy-administration,cnwqk185-chemotherapy-administration,irinotecan coding + first-use extension,same,medicationCodeableConcept + extension,same,effectiveDateTime=report timestamp,explicit date else 1970-01-01T00:00:00Z,Patient/<patient argument>,Patient/<patient argument>,deterministic same-report rule -> conservative LLM; date fallback changed,LIKELY_RECALL_INCREASING for V2.4.3
265,each report in full,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: cTnI/cTnT; numeric value/unit,cTnI>=0.06 OR cTnT>=0.03 ug/L with analyte/unit parsing,same threshold; MATCH revoked unless analyte-bound numeric payload exists,NO,NO,none; deterministic Python predicate,none; deterministic Python predicate,predicate true in one report,rule/LLM MATCH on retrieved evidence,positive analyte + numeric ug/L,analyte-bound numeric required after MATCH,Observation,Observation,serum + preoperative troponin profiles,cnwqk265-serum-cardiac-troponin-observation,troponin cTnI/cTnT + LOINC + preoperative extension,generic criterion 265; no preoperative extension,valueQuantity ug/L,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,grounded-payload gate plus loss of scorer-specific coding/extension/time,LIKELY_PRECISION_INCREASING; HIGH visibility risk
485,each report in full,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: POP-Q; stage III/IV,POP-Q III or IV; reject negation,deterministic POP-Q III/IV; V5S.1 emits exact branch,NO,NO,none; deterministic Python predicate,none; deterministic Python predicate,predicate true in one report,rule/LLM MATCH on retrieved evidence,stage III or IV,stage III or IV,Observation,Observation,cnwqk485-popq-assessment,cnwqk485-popq-assessment,popq-grade + value III/IV,generic criterion 485 + value III/IV,valueCodeableConcept,same,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,decision near-equivalent; top-level code less scorer-specific,NEUTRAL decision; MEDIUM transport risk
555,each report in full; relative-month parser,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: surgery; <=6-month time expression,event_months(surgery)<=6; reject negated/planned,deterministic recent-surgery rule on selected windows,NO,NO,none; deterministic Python predicate,none; deterministic Python predicate,predicate true in one report,rule/LLM MATCH on retrieved evidence,surgery + relative interval/date,surgery + relative interval/date,Procedure,Procedure,cnwqk555-SurgeryHistoryProfile,cnwqk555-SurgeryHistoryProfile,SurgeryProcedureCS surgery,generic criterion 555,none,none,computed report timestamp minus relative months,explicit date else 1970-01-01T00:00:00Z,Patient/<patient argument>,Patient/<patient argument>,relative timing serialization weakened; bounded windows may split event/time,LIKELY_RECALL_INCREASING for V2.4.3
565,each report in full,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: diarrhea/constipation; severe,severe diarrhea OR constipation; reject negated/resolved/history-only,conservative semantic LLM over symptom/severity windows,NO,YES,none; deterministic Python predicate,"Chinese criterion rule + retrieved evidence; sufficient => YES, otherwise NO; output YES/NO only",predicate true in one report,rule/LLM MATCH on retrieved evidence,symptom branch + severe,symptom branch + severe,Observation,Observation,cnwqk565-symptomobservation,cnwqk565-symptomobservation,symptom code + severe extension,same,severity extension,same,omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,deterministic phrase rule -> conservative model,LIKELY_RECALL_INCREASING for V2.4.3
615,each report in full,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: branch name; branch value,"OR pT3a/b/4, R1, pN1, GS>=8, PSA>0.1",deterministic OR over same branches on selected windows,NO,NO,none; deterministic Python predicate,none; deterministic Python predicate,predicate true in one report,rule/LLM MATCH on retrieved evidence,one or more branch values,one or more branch values,Observation,Observation,five branch-specific cnwqk615 profiles,same profiles,branch-specific code/value,generic criterion 615 + branch value,valueCodeableConcept or valueQuantity,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,thresholds similar; retrieval and emitted code/time differ,UNKNOWN decision; MEDIUM transport risk
635,each report in full,"group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; four groups: AST, ALT, BUN, Cr with values/ULN",all four value/high pairs and every value<=high,same rule plus post-MATCH all-four grounded gate,NO,NO,none; deterministic Python predicate,none; deterministic Python predicate,predicate true in one report,rule/LLM MATCH on retrieved evidence,four value + ULN pairs,all four value/ULN pairs required after MATCH,Observation x4,Observation x4,cnwqk635-LaboratoryExaminationProfile,same,AST/ALT/BUN/Cr coding,same,valueQuantity + referenceRange.high x4,same,effectiveDateTime=report timestamp,omitted,Patient/<patient argument>,Patient/<patient argument>,similar semantic rule; extra gate and 8-window competition,LIKELY_PRECISION_INCREASING; possible retrieval recall cost
675,each report in full; concepts must share report,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: age; zoster diagnosis; head/face site,age>=50 AND zoster AND head/face relation; reject family/negated,semantic LLM over group windows; cross-report fusion allowed,NO,YES,none; deterministic Python predicate,"Chinese criterion rule + retrieved evidence; sufficient => YES, otherwise NO; output YES/NO only",predicate true in one report,rule/LLM MATCH on retrieved evidence,age/site/diagnosis,age/site/diagnosis,Condition,Condition,cnwqk675headfacialherpeszostercondition,cnwqk675-head-facial-herpes-zoster-condition,B02.9 + head/face bodySite,same,Condition code/bodySite,same,onset omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,"cross-report fusion and corrected profile, but conservative prompt",MIXED
735,each report in full,group-aware sentence retrieval; reserve >=1 per hit group; dedupe; max 8 windows; groups: listed disease; active stage,listed disease AND active; reject stable/resolved/cured/history,semantic LLM over disease/activity windows,NO,YES,none; deterministic Python predicate,"Chinese criterion rule + retrieved evidence; sufficient => YES, otherwise NO; output YES/NO only",predicate true in one report,rule/LLM MATCH on retrieved evidence,disease branch + active,disease branch + active,Condition,Condition,cnwqk735_nonneoplasmdiseasestage,StructureDefinition/cnwqk735-nonneoplasm-disease-stage,branch disease code + active,generic criterion 735 + active,Condition code,same,onset omitted,omitted,Patient/<patient argument>,Patient/<patient argument>,profile corrected; branch code simplified; deterministic -> LLM,UNKNOWN
